Industry_id,INDUSTRY_NAME,LATITUDE,LONGITUDE,ANNUAL_LIMIT,ANNUAL_CONSUMPTION,ANNUAL_RECHARGE,GROUNDWATER_LEVEL_1,GROUNDWATER_LEVEL_1,TOKENS,Z_ID
1,pappaya palem,17.76427098,83.03687176,26,30,40,12,18,,1
2,vooderu,17.74848672,82.97781231,38,34,46,10,12,,1
3,Kondupalem,17.75982143,83.05117023,50,38,52,12,11,,1
4,Pisinikada,17.68535882,82.97209187,62,78,58,9,8,,1
5,Mungerlapalem,17.73480575,82.57463223,74,46,64,6,12,,2
6,Seethakandi,17.73488046,82.55876425,86,50,70,4,9,,2
7,Kothapalem-8,17.70064018,82.47267124,98,54,76,17,13,,2
8,Pappusettipalem,17.69173048,82.50825838,110,58,82,11,16,,2
9,Vantarlapalem,17.88711092,82.86174735,122,62,88,14,10,,3
10,Yerukuvada,17.86943805,82.86121829,134,66,94,7,15,,3
11,Mukundapuram-5,17.86224824,82.85547065,146,200,100,13,12,,3
12,Kaspa JagannadhaPuram,17.8903542,82.8391888,158,74,106,12,17,,3
13,Chuchikonda,17.60044988,82.91981308,170,78,112,2,5,,4
14,Purushotthampuram,17.61985708,82.94653106,182,82,118,3,8,,4
15,Ganaparti,17.6076718,82.91775719,194,86,124,4,7,,4
16,Gangaparthi,17.59863219,82.91137973,206,90,130,6,3,,4
17,Munugodu,16.57726453,80.23563666,218,94,136,7,2,,5
18,Didugu,16.57678768,80.30018862,230,98,142,8,3,,5
19,Pondugala,16.59245158,80.26272164,242,102,148,9,4,,5
20,Dharanikota,16.57320117,80.33201495,254,106,154,1,3,,5
21,Ayyannapalem,16.3621198,79.62463056,266,110,160,2,5,,6
22,Mellavagu,16.35269699,79.73546248,278,114,166,3,6,,6
23,Pathareddipalem,16.18669696,80.51253606,290,118,172,4,7,,6
24,Sekuru,16.26966101,80.57622189,302,122,178,5,8,,6
25,Darivemula,16.46388759,79.55105634,314,400,184,6,9,,7
26,Adigoppula,16.43569712,79.61256785,326,130,190,7,4,,7
27,Obulesunipalle,16.39892644,79.56378898,338,134,196,8,5,,7
28,Kolagutla,16.38681482,79.51312647,350,450,202,9,6,,7
29,Solasa,16.23069169,80.22223128,362,142,208,1,6,,8
30,Mydavolu,16.19023517,80.21923345,374,146,214,2,7,,8
31,Unnava,16.17373518,80.27734077,386,150,220,3,8,,8
32,Karuchola,16.14577878,80.26060504,398,154,226,4,1,,8